loss,acc,epoch
0.29456,0.812,99
0.29860,0.875,199
0.16799,0.938,299
0.04877,1.000,399
0.10389,0.938,499
0.11148,0.938,599
0.27813,0.875,699
0.17513,0.938,799
0.08205,1.000,899
0.34998,0.875,999
0.18399,0.875,1099
0.10624,0.938,1199
0.07260,1.000,1299
0.01872,1.000,1399
0.28815,0.875,1499
0.15245,0.875,1599
0.10024,1.000,1699
0.08052,1.000,1799
0.28445,0.875,1899
0.42753,0.875,1999
0.84798,0.812,2099
0.41694,0.875,2199
0.37294,0.875,2299
0.07419,1.000,2399
0.22628,0.938,2499
0.15045,0.938,2599
0.18668,0.875,2699
0.13941,0.938,2799
0.40079,0.875,2899
0.27090,0.938,2999
0.52820,0.812,3099
0.00582,1.000,3199
0.30984,0.812,3299
0.07527,0.938,3399
0.05965,1.000,3499
0.01106,1.000,3599
0.46042,0.812,3699
0.02192,1.000,3799
0.09038,0.938,3899
0.22916,0.938,3999
0.28197,0.938,4099
0.36470,0.875,4199
0.39809,0.938,4299
0.37668,0.875,4399
0.29542,0.938,4499
0.20151,0.938,4599
0.01313,1.000,4699
0.09532,0.938,4799
0.52589,0.750,4899
0.05883,1.000,4999
0.33050,0.938,5099
0.17670,0.938,5199
0.15119,0.938,5299
0.09062,0.938,5399
0.13214,1.000,5499
0.18616,0.938,5599
0.02106,1.000,5699
0.11603,1.000,5799
0.01649,1.000,5899
1.39828,0.750,5999
0.16544,0.938,6099
0.13807,0.938,6199
0.04061,1.000,6299
0.02241,1.000,6399
0.12547,0.938,6499
0.16515,0.938,6599
0.39001,0.875,6699
0.01573,1.000,6799
0.02262,1.000,6899
0.04194,1.000,6999
0.11572,0.938,7099
0.39178,0.812,7199
0.15276,0.938,7299
0.02319,1.000,7399
0.07708,0.938,7499
0.03481,1.000,7599
0.11560,1.000,7699
0.19282,0.875,7799
0.03304,1.000,7899
0.10274,1.000,7999
0.14072,0.938,8099
0.07491,1.000,8199
0.10232,0.938,8299
0.20819,0.938,8399
0.23967,0.875,8499
0.22693,0.875,8599
0.05127,1.000,8699
0.15010,0.938,8799
0.64199,0.875,8899
0.06700,1.000,8999
0.80878,0.812,9099
0.15011,0.938,9199
0.30317,0.875,9299
0.12554,0.875,9399
0.52053,0.875,9499
0.04119,1.000,9599
0.18691,0.875,9699
0.17549,0.938,9799
0.16352,0.875,9899
0.00971,1.000,9999
0.33023,0.812,99
0.03009,1.000,199
0.21127,0.938,299
0.03944,1.000,399
0.24294,0.938,499
0.16115,0.938,599
0.04057,1.000,699
0.24256,0.875,799
0.00831,1.000,899
0.11193,0.938,999
0.15521,0.875,1099
0.49945,0.875,1199
0.35260,0.812,1299
0.21554,0.875,1399
0.08194,0.938,1499
0.08095,0.938,1599
0.76303,0.938,1699
0.11317,0.938,1799
0.01445,1.000,1899
0.29041,0.938,1999
0.46819,0.875,2099
0.02684,1.000,2199
0.03592,1.000,2299
0.20103,0.875,2399
0.05697,1.000,2499
0.29459,0.875,2599
0.04261,1.000,2699
0.75833,0.750,2799
0.41221,0.875,2899
0.07592,1.000,2999
0.57066,0.875,3099
0.03650,1.000,3199
0.17734,0.938,3299
0.15050,0.938,3399
0.14785,1.000,3499
0.03907,1.000,3599
0.08216,0.938,3699
0.02719,1.000,3799
0.14651,0.938,3899
0.10782,0.938,3999
0.02210,1.000,4099
0.03707,1.000,4199
0.05821,1.000,4299
0.11705,0.938,4399
0.18139,0.938,4499
0.01213,1.000,4599
0.11083,1.000,4699
0.38693,0.812,4799
0.27799,0.875,4899
0.26568,0.938,4999
0.45870,0.812,5099
0.19582,0.875,5199
0.05135,1.000,5299
0.14151,0.938,5399
0.08342,0.938,5499
0.55222,0.875,5599
0.20731,0.938,5699
0.07239,1.000,5799
0.29550,0.875,5899
0.03288,1.000,5999
0.54553,0.875,6099
0.25381,0.938,6199
0.58471,0.875,6299
0.02196,1.000,6399
0.20302,0.875,6499
0.00859,1.000,6599
0.04389,1.000,6699
0.02367,1.000,6799
0.05475,1.000,6899
0.29008,0.938,6999
0.20882,0.938,7099
0.29686,0.938,7199
0.16299,0.875,7299
0.27796,0.875,7399
0.03295,1.000,7499
0.27699,0.938,7599
0.08573,0.938,7699
0.37103,0.812,7799
0.29350,0.875,7899
0.04685,1.000,7999
0.23229,0.875,8099
0.06488,1.000,8199
0.09863,0.938,8299
0.21788,0.938,8399
0.29734,0.875,8499
0.06598,1.000,8599
0.01302,1.000,8699
0.13008,0.938,8799
0.00576,1.000,8899
0.29796,0.875,8999
0.01713,1.000,9099
0.12785,0.938,9199
0.12434,0.938,9299
0.05094,1.000,9399
0.08674,0.938,9499
0.21630,0.938,9599
0.13695,0.938,9699
0.13164,0.938,9799
0.25098,0.875,9899
0.11392,0.938,9999
0.10163,0.938,99
0.12222,0.938,199
0.07547,1.000,299
0.23033,0.875,399
0.02127,1.000,499
0.41200,0.938,599
0.01481,1.000,699
0.17570,0.875,799
0.15201,0.938,899
0.09318,0.938,999
0.03508,1.000,1099
0.57471,0.875,1199
0.37116,0.938,1299
0.17353,0.938,1399
0.19749,0.875,1499
0.04006,1.000,1599
0.04619,1.000,1699
0.26282,0.875,1799
0.09901,1.000,1899
0.11148,1.000,1999
0.25324,0.938,2099
0.45112,0.938,2199
0.30943,0.875,2299
0.18858,0.938,2399
0.00757,1.000,2499
0.20157,0.938,2599
0.03909,1.000,2699
0.13381,0.938,2799
0.02742,1.000,2899
0.13258,1.000,2999
0.04867,1.000,3099
0.08028,1.000,3199
0.02853,1.000,3299
0.02348,1.000,3399
0.21804,0.875,3499
0.11860,0.938,3599
0.04648,1.000,3699
0.03281,1.000,3799
0.00873,1.000,3899
0.09716,0.938,3999
0.02035,1.000,4099
0.05423,1.000,4199
0.19437,0.938,4299
0.20061,0.938,4399
0.13035,0.938,4499
0.01735,1.000,4599
0.21789,0.875,4699
0.04429,1.000,4799
0.32950,0.938,4899
0.06842,1.000,4999
0.02035,1.000,5099
0.05166,1.000,5199
0.04180,1.000,5299
0.87740,0.938,5399
0.16651,0.938,5499
0.43739,0.875,5599
0.21179,0.938,5699
0.34428,0.938,5799
0.19793,0.938,5899
0.02657,1.000,5999
0.02257,1.000,6099
0.40027,0.812,6199
0.11750,0.938,6299
0.19081,0.875,6399
0.17942,0.938,6499
0.09060,0.938,6599
0.00207,1.000,6699
0.00410,1.000,6799
0.03268,1.000,6899
0.06724,0.938,6999
0.04109,1.000,7099
0.05232,1.000,7199
0.15683,0.938,7299
0.32583,0.812,7399
0.19566,0.875,7499
0.50256,0.875,7599
0.49957,0.812,7699
0.01081,1.000,7799
0.08353,1.000,7899
0.38305,0.938,7999
0.42402,0.875,8099
0.11754,0.938,8199
0.05298,1.000,8299
0.33526,0.875,8399
0.00990,1.000,8499
0.56394,0.750,8599
0.28187,0.938,8699
0.30516,0.812,8799
0.04104,1.000,8899
0.07597,1.000,8999
0.35383,0.938,9099
0.15624,0.938,9199
0.02384,1.000,9299
0.17844,0.875,9399
0.07886,1.000,9499
0.04241,1.000,9599
0.56024,0.875,9699
0.00226,1.000,9799
0.01029,1.000,9899
0.46388,0.812,9999
0.16363,0.938,99
0.03178,1.000,199
0.32727,0.750,299
0.13055,0.938,399
0.11013,1.000,499
0.11978,0.938,599
0.21081,0.938,699
0.11394,0.938,799
0.03992,1.000,899
0.00804,1.000,999
0.01185,1.000,1099
0.01451,1.000,1199
0.03517,1.000,1299
0.04248,1.000,1399
0.11593,0.938,1499
0.01896,1.000,1599
0.17461,0.875,1699
0.01069,1.000,1799
0.07089,1.000,1899
0.02105,1.000,1999
0.08907,1.000,2099
0.14666,0.938,2199
0.09568,1.000,2299
0.63206,0.875,2399
0.09263,0.938,2499
0.39740,0.875,2599
0.01638,1.000,2699
0.03563,1.000,2799
0.18651,0.938,2899
0.02093,1.000,2999
0.09617,0.938,3099
0.04800,1.000,3199
0.26980,0.875,3299
0.17969,0.938,3399
0.16173,0.938,3499
0.21132,0.938,3599
0.13490,0.938,3699
0.26822,0.938,3799
0.13604,0.938,3899
0.01473,1.000,3999
0.01468,1.000,4099
0.19524,0.938,4199
0.05473,0.938,4299
0.46733,0.875,4399
0.10005,1.000,4499
0.30236,0.875,4599
0.17795,0.938,4699
0.03723,1.000,4799
0.04187,1.000,4899
0.01950,1.000,4999
0.05688,1.000,5099
0.08989,1.000,5199
0.01173,1.000,5299
0.08809,0.938,5399
0.01290,1.000,5499
0.11616,0.938,5599
0.38430,0.875,5699
0.34433,0.812,5799
0.04733,1.000,5899
0.06949,1.000,5999
0.37368,0.812,6099
0.04677,1.000,6199
0.08946,0.938,6299
0.01777,1.000,6399
0.24204,0.938,6499
0.14320,0.938,6599
0.00410,1.000,6699
0.03138,1.000,6799
0.18384,0.938,6899
0.21833,0.938,6999
0.02738,1.000,7099
0.42859,0.812,7199
0.47430,0.875,7299
0.10642,0.938,7399
0.00331,1.000,7499
0.32013,0.938,7599
0.17411,0.938,7699
0.01914,1.000,7799
0.02397,1.000,7899
0.04193,1.000,7999
0.02730,1.000,8099
0.02542,1.000,8199
0.23931,0.938,8299
0.17731,0.938,8399
0.06174,1.000,8499
0.02108,1.000,8599
0.04927,1.000,8699
0.26112,0.875,8799
0.15912,0.938,8899
0.12245,0.938,8999
0.03111,1.000,9099
0.02003,1.000,9199
0.27283,0.938,9299
0.07232,0.938,9399
0.00441,1.000,9499
0.14735,0.938,9599
0.39420,0.875,9699
0.11273,1.000,9799
0.00605,1.000,9899
0.03640,1.000,9999
0.01285,1.000,99
0.26830,0.938,199
0.00545,1.000,299
0.35565,0.875,399
0.05998,1.000,499
0.01644,1.000,599
0.03197,1.000,699
0.21776,0.875,799
0.07616,1.000,899
0.24905,0.938,999
0.23082,0.938,1099
0.07422,0.938,1199
0.46735,0.938,1299
0.05114,1.000,1399
0.24648,0.875,1499
0.04132,1.000,1599
0.02340,1.000,1699
0.06628,1.000,1799
0.15336,0.938,1899
0.07686,1.000,1999
0.00994,1.000,2099
0.01645,1.000,2199
0.08411,0.938,2299
0.15614,0.938,2399
0.35410,0.875,2499
0.32611,0.938,2599
0.03311,1.000,2699
0.00437,1.000,2799
0.06205,1.000,2899
0.09960,0.938,2999
0.27415,0.875,3099
0.02975,1.000,3199
0.00593,1.000,3299
0.39250,0.812,3399
0.42572,0.875,3499
0.00097,1.000,3599
0.03306,1.000,3699
0.00955,1.000,3799
0.03063,1.000,3899
0.04470,1.000,3999
0.14242,0.938,4099
0.17370,0.938,4199
0.36209,0.938,4299
0.31223,0.938,4399
0.06229,1.000,4499
0.04257,1.000,4599
0.20415,0.875,4699
0.21486,0.875,4799
0.01210,1.000,4899
0.01815,1.000,4999
0.07557,1.000,5099
0.03536,1.000,5199
0.38544,0.938,5299
0.41685,0.875,5399
0.04300,1.000,5499
0.08433,1.000,5599
0.05795,1.000,5699
0.23403,0.938,5799
0.40047,0.875,5899
0.07669,1.000,5999
0.01316,1.000,6099
0.04054,1.000,6199
0.05003,1.000,6299
0.12197,0.938,6399
0.17322,0.875,6499
0.05665,1.000,6599
0.17369,0.875,6699
0.01173,1.000,6799
0.01656,1.000,6899
0.17423,0.875,6999
0.12767,0.938,7099
0.22366,0.938,7199
0.06200,1.000,7299
0.24452,0.875,7399
0.03361,1.000,7499
0.00609,1.000,7599
0.15483,0.938,7699
0.00319,1.000,7799
0.03484,1.000,7899
0.07242,1.000,7999
0.09385,0.938,8099
0.15056,0.938,8199
0.09543,0.938,8299
0.37322,0.812,8399
0.03110,1.000,8499
0.32842,0.938,8599
0.12764,0.938,8699
0.02710,1.000,8799
0.08528,1.000,8899
0.06518,1.000,8999
0.38934,0.938,9099
0.10597,0.938,9199
0.20081,0.875,9299
0.05937,1.000,9399
0.23897,0.938,9499
0.00339,1.000,9599
0.25324,0.938,9699
0.14950,0.938,9799
0.00786,1.000,9899
0.21607,0.875,9999
0.24531,0.938,99
0.00514,1.000,199
0.06855,1.000,299
0.01014,1.000,399
0.22407,0.875,499
0.04282,1.000,599
0.60313,0.875,699
0.04048,1.000,799
0.08200,0.938,899
0.29155,0.938,999
0.27184,0.938,1099
0.43981,0.938,1199
0.07764,0.938,1299
0.02428,1.000,1399
0.18616,0.938,1499
0.15309,0.938,1599
0.13735,0.938,1699
0.11943,0.938,1799
0.03766,1.000,1899
0.00348,1.000,1999
0.05158,1.000,2099
0.16722,0.938,2199
0.08133,1.000,2299
0.14717,1.000,2399
0.05088,1.000,2499
0.29271,0.875,2599
0.11478,0.938,2699
0.18387,0.938,2799
0.02727,1.000,2899
0.05059,1.000,2999
0.19050,0.938,3099
0.03034,1.000,3199
0.04334,1.000,3299
0.01325,1.000,3399
0.00573,1.000,3499
0.37479,0.938,3599
0.29109,0.938,3699
0.19633,0.875,3799
0.03169,1.000,3899
0.00812,1.000,3999
0.02848,1.000,4099
0.33629,0.938,4199
0.05309,1.000,4299
0.03792,1.000,4399
0.18963,0.875,4499
0.17183,0.875,4599
0.00394,1.000,4699
0.00744,1.000,4799
0.07562,0.938,4899
0.13018,0.938,4999
0.05264,1.000,5099
0.04251,1.000,5199
0.14494,0.875,5299
0.03756,1.000,5399
0.00360,1.000,5499
0.03831,1.000,5599
0.00597,1.000,5699
0.01900,1.000,5799
0.00715,1.000,5899
0.34542,0.875,5999
0.33962,0.938,6099
0.00685,1.000,6199
0.12678,0.938,6299
0.00586,1.000,6399
0.09292,0.938,6499
0.04467,1.000,6599
0.01866,1.000,6699
0.00315,1.000,6799
0.21766,0.875,6899
