loss,acc,test_loss,test_acc
2.18728,0.125,2.15214,0.19562
1.89970,0.250,4.35901,0.16562
2.14430,0.250,1.91140,0.25250
1.62544,0.375,2.03427,0.22062
1.79710,0.250,1.90881,0.32562
1.56571,0.500,1.62833,0.39313
1.26522,0.438,1.70154,0.38375
1.53487,0.500,1.54229,0.41937
1.28941,0.562,1.55708,0.40375
1.14865,0.500,1.36800,0.50187
1.50509,0.625,1.41564,0.50562
1.15221,0.562,1.32999,0.51687
0.72296,0.812,1.13173,0.60437
0.92792,0.688,1.12760,0.61250
0.86280,0.688,1.08148,0.62000
1.07429,0.625,1.06968,0.62875
1.00325,0.750,1.02111,0.65312
0.65305,0.812,0.97854,0.66000
1.06165,0.625,0.98075,0.67188
0.49161,0.812,1.01953,0.64812
0.86179,0.812,0.89956,0.69063
0.67729,0.812,0.95550,0.67750
0.95553,0.750,0.87057,0.71750
0.45875,0.938,0.92642,0.69500
1.14316,0.625,0.86961,0.70562
0.84063,0.688,0.82130,0.70937
0.33060,0.938,0.90448,0.68188
0.86235,0.625,0.79997,0.74125
0.71585,0.812,0.81082,0.72313
0.74840,0.750,0.83330,0.71500
0.94573,0.625,0.77993,0.74062
0.54447,0.812,0.75700,0.75187
0.24810,0.875,0.78719,0.72813
0.35803,0.875,0.77889,0.71937
0.29148,0.938,0.78077,0.74313
1.50271,0.688,0.75459,0.74625
0.41904,0.875,0.72666,0.75750
0.78742,0.812,0.74309,0.75313
1.09613,0.625,0.72319,0.75187
0.35156,0.938,0.73744,0.75687
0.31588,0.938,0.71440,0.75562
0.77766,0.688,0.72776,0.74813
0.20418,1.000,0.73126,0.74562
0.26630,0.938,0.74349,0.75750
0.68481,0.812,0.74958,0.74375
0.63169,0.750,0.75621,0.74750
0.49352,0.875,0.72733,0.75125
0.28389,0.875,0.68575,0.77000
0.16101,0.938,0.69300,0.75875
0.52228,0.812,0.72018,0.76625
0.44659,0.812,0.76074,0.73813
0.48507,0.812,0.70827,0.76313
0.24489,0.875,0.72994,0.74938
0.65076,0.750,0.76814,0.72875
0.37682,0.875,0.71407,0.75813
0.44923,0.875,0.70160,0.76687
0.37491,0.938,0.75805,0.74625
0.30225,0.875,0.78133,0.73500
0.29479,0.875,0.73447,0.75313
0.22722,0.875,0.71731,0.75687
0.23888,0.938,0.74035,0.76000
0.41957,0.812,0.72466,0.75813
0.55573,0.875,0.68685,0.76750
0.21828,0.875,0.73000,0.75687
0.31296,0.938,0.73154,0.75187
0.26765,0.875,0.73851,0.75313
0.19081,0.875,0.75642,0.75750
0.18749,0.938,0.74547,0.74938
0.16091,0.938,0.78871,0.73938
0.36125,0.875,0.81117,0.74500
0.58689,0.750,0.76645,0.74938
0.23614,0.875,0.71484,0.76750
0.29577,0.938,0.75904,0.75813
0.77470,0.812,0.73413,0.75687
0.37654,0.875,0.69753,0.76250
0.22165,0.938,0.70316,0.76938
0.23660,0.875,0.79562,0.74875
0.38844,0.938,0.76659,0.75875
0.13974,0.938,0.74493,0.76062
0.18909,0.938,0.75715,0.75625
0.76551,0.750,0.83021,0.75187
0.46538,0.875,0.74672,0.75438
0.81986,0.812,0.75922,0.75813
0.34879,0.875,0.75701,0.76438
0.02733,1.000,0.78500,0.75187
0.17913,0.938,0.74522,0.75813
0.18030,0.875,0.78395,0.76000
1.33449,0.625,0.78012,0.74187
0.42712,0.938,0.80677,0.74062
0.20832,0.938,0.76471,0.76000
0.24186,0.938,0.76700,0.76500
0.05179,1.000,0.75772,0.75375
0.09545,0.938,0.78340,0.74125
0.15490,0.938,0.79618,0.74875
0.03686,1.000,0.82215,0.74438
0.39195,0.812,0.80842,0.74062
0.21455,0.938,0.85856,0.74813
0.60942,0.750,0.78208,0.75500
0.25569,0.875,0.76809,0.75687
0.52416,0.875,0.77058,0.74875
