loss,acc,test_loss,test_acc
1.52607,0.438,2.07652,0.27250
1.53579,0.562,1.98149,0.28563
1.39939,0.500,1.67261,0.38438
1.28459,0.438,1.91354,0.38375
1.35144,0.688,1.36363,0.51938
1.31831,0.625,1.18631,0.59500
1.32787,0.500,1.08040,0.61813
1.68243,0.375,1.13776,0.59250
1.41367,0.562,1.06255,0.62687
0.68715,0.688,0.99496,0.65875
0.58251,0.812,0.96331,0.67437
0.68835,0.750,0.93101,0.68375
0.80494,0.750,0.90973,0.68750
0.79235,0.875,0.89944,0.70125
1.10361,0.750,0.84007,0.71375
1.02078,0.688,0.92327,0.68500
0.76829,0.812,0.86348,0.71375
0.44161,0.875,0.85792,0.71750
1.08830,0.750,0.86817,0.72125
1.10584,0.688,0.85147,0.72562
1.12479,0.688,0.83082,0.72625
0.70426,0.688,0.83044,0.73938
0.92415,0.688,0.83888,0.74687
0.39144,0.875,0.77736,0.74000
0.39891,0.875,0.71679,0.76625
0.96939,0.750,0.76265,0.75438
0.47115,0.812,0.74121,0.76000
0.75821,0.688,0.74658,0.76125
0.87535,0.812,0.83078,0.72250
0.35879,0.812,0.73078,0.76000
0.53444,0.750,0.75147,0.74813
0.57681,0.750,0.72729,0.76875
0.56376,0.812,0.69226,0.77438
1.20225,0.625,0.72152,0.77063
0.32104,0.875,0.70650,0.76500
0.22198,0.938,0.70130,0.77063
0.61709,0.688,0.77741,0.74438
0.55940,0.875,0.70893,0.76750
0.36144,0.938,0.67469,0.77875
0.15030,0.938,0.75050,0.76562
0.08201,1.000,0.77020,0.75250
0.21005,0.938,0.70329,0.77312
0.56320,0.812,0.69904,0.76812
0.22719,0.875,0.71408,0.77625
0.12573,0.938,0.71952,0.77375
0.53712,0.812,0.69848,0.77000
0.13244,1.000,0.69782,0.78000
0.37994,0.938,0.73026,0.77312
0.48471,0.750,0.67715,0.78063
0.46481,0.875,0.74135,0.75500
0.11877,1.000,0.72275,0.75750
0.46438,0.938,0.67303,0.78438
0.74949,0.750,0.62708,0.80437
0.46941,0.875,0.74979,0.77187
0.26665,0.938,0.67326,0.78750
0.69965,0.812,0.74463,0.77438
0.22259,0.938,0.73745,0.77312
0.36798,0.875,0.67636,0.78625
0.67014,0.688,0.69890,0.78125
0.17191,1.000,0.70649,0.78375
0.17919,0.938,0.71196,0.78375
0.47199,0.875,0.71320,0.77500
0.27718,0.875,0.75651,0.75625
0.29789,0.812,0.71526,0.78563
0.32734,0.812,0.75142,0.76250
0.46850,0.938,0.74052,0.76938
0.24483,0.938,0.78929,0.77312
0.34865,0.938,0.76351,0.76938
0.55384,0.812,0.77511,0.75625
0.26354,0.938,0.77527,0.77687
0.43339,0.812,0.74638,0.78187
0.09386,0.938,0.74061,0.77750
0.48210,0.875,0.72956,0.77812
0.15859,0.938,0.81379,0.76812
0.48590,0.875,0.74879,0.77687
0.15723,0.938,0.76807,0.76687
0.03953,1.000,0.81744,0.77063
0.30279,0.938,0.73251,0.78687
0.19411,0.938,0.76472,0.77438
0.09721,0.938,0.81579,0.78438
0.06426,1.000,0.75016,0.79063
0.31309,0.875,0.73746,0.79500
0.15149,0.938,0.70678,0.79000
0.19428,0.938,0.78646,0.79063
0.09795,0.938,0.80316,0.77750
0.13924,0.938,0.72770,0.79000
0.10641,0.938,0.78167,0.78000
0.01830,1.000,0.80979,0.76938
0.32587,0.938,0.74627,0.77875
0.18546,0.938,0.79204,0.77750
0.16859,0.875,0.78975,0.78125
0.12358,0.938,0.78777,0.77625
0.06636,1.000,0.79229,0.77063
0.04021,1.000,0.82674,0.77687
0.08403,1.000,0.76682,0.79187
0.09683,1.000,0.78763,0.78438
0.11601,0.938,0.83931,0.78625
0.01327,1.000,0.83462,0.77687
0.07027,1.000,0.76138,0.78500
0.34306,0.938,0.78220,0.79750
