loss,acc,epoch
1.93660,0.438,99
1.74984,0.250,199
2.12494,0.250,299
2.18380,0.250,399
2.08108,0.188,499
2.23935,0.312,599
1.89542,0.312,699
1.78144,0.250,799
1.73975,0.188,899
2.15198,0.062,999
2.26529,0.312,1099
2.23234,0.125,1199
1.97553,0.312,1299
1.76945,0.188,1399
1.63634,0.438,1499
2.08724,0.250,1599
1.61713,0.500,1699
1.76719,0.188,1799
1.55402,0.375,1899
1.74943,0.250,1999
1.91191,0.188,2099
1.57638,0.250,2199
1.79726,0.250,2299
1.62567,0.562,2399
2.03519,0.125,2499
1.45127,0.375,2599
1.94677,0.125,2699
1.71195,0.438,2799
1.53904,0.438,2899
1.62576,0.438,2999
1.73682,0.250,3099
1.55963,0.312,3199
1.60995,0.188,3299
1.57101,0.312,3399
1.29986,0.500,3499
2.08152,0.312,3599
1.58722,0.250,3699
1.66689,0.438,3799
1.45043,0.375,3899
2.00303,0.375,3999
1.52573,0.500,4099
1.39087,0.562,4199
1.57229,0.250,4299
1.44122,0.500,4399
1.76191,0.500,4499
1.50127,0.500,4599
1.38764,0.500,4699
1.64690,0.312,4799
1.30459,0.812,4899
1.32628,0.375,4999
1.37974,0.438,5099
1.36411,0.438,5199
1.57972,0.312,5299
1.87314,0.375,5399
0.77949,0.750,5499
1.33541,0.500,5599
1.68209,0.375,5699
1.97878,0.250,5799
1.31593,0.500,5899
1.87217,0.438,5999
0.72590,0.750,6099
1.38958,0.500,6199
1.91814,0.375,6299
1.63812,0.375,6399
1.24311,0.438,6499
1.02884,0.750,6599
1.27751,0.562,6699
1.13334,0.688,6799
0.99492,0.812,6899
1.37012,0.438,6999
1.26183,0.500,7099
1.49416,0.562,7199
1.20035,0.625,7299
0.94463,0.750,7399
1.11605,0.688,7499
1.04988,0.562,7599
0.90802,0.625,7699
1.18321,0.625,7799
1.55432,0.500,7899
1.43057,0.312,7999
1.17412,0.500,8099
1.15316,0.500,8199
1.42025,0.438,8299
1.00165,0.688,8399
0.81030,0.750,8499
1.43696,0.375,8599
1.12911,0.562,8699
0.82340,0.750,8799
1.23084,0.625,8899
0.95378,0.688,8999
1.04245,0.625,9099
1.46477,0.500,9199
0.84282,0.625,9299
1.07522,0.625,9399
0.87215,0.812,9499
0.84159,0.750,9599
0.81506,0.750,9699
1.09265,0.625,9799
1.05997,0.625,9899
0.96077,0.625,9999
0.84988,0.562,99
1.10139,0.750,199
1.45936,0.562,299
0.80672,0.750,399
0.93038,0.812,499
0.83766,0.750,599
1.60068,0.562,699
1.63665,0.500,799
1.30043,0.688,899
1.11702,0.562,999
1.35847,0.562,1099
1.38164,0.438,1199
1.15782,0.500,1299
1.27430,0.500,1399
1.30387,0.500,1499
1.46419,0.500,1599
1.02502,0.562,1699
0.79643,0.812,1799
1.13050,0.688,1899
0.95341,0.562,1999
1.30088,0.562,2099
1.32144,0.500,2199
0.94148,0.688,2299
0.88529,0.688,2399
0.67742,0.750,2499
1.39004,0.562,2599
1.07149,0.625,2699
1.24559,0.438,2799
1.27264,0.500,2899
1.03127,0.750,2999
0.73096,0.688,3099
1.86451,0.312,3199
0.85827,0.562,3299
1.13880,0.688,3399
1.49622,0.562,3499
0.95526,0.750,3599
1.66014,0.250,3699
0.57301,0.875,3799
0.82855,0.688,3899
0.99534,0.688,3999
1.20989,0.625,4099
