loss,acc,test_loss,test_acc
1.93906,0.250,2.19057,0.15063
1.48750,0.625,1.85105,0.29750
2.11151,0.125,1.85113,0.31312
1.58254,0.375,2.04081,0.23500
1.38688,0.500,1.72026,0.33875
1.27524,0.438,1.68406,0.32188
1.24565,0.500,1.58418,0.41187
2.09278,0.500,1.53250,0.37625
1.45960,0.375,1.51766,0.42063
1.65417,0.250,1.57337,0.39500
1.34348,0.562,1.42908,0.50250
1.41371,0.500,1.43481,0.45813
1.36766,0.500,1.41157,0.44875
0.94265,0.688,1.37207,0.48438
1.13790,0.375,1.24636,0.55625
1.07639,0.625,1.52346,0.47563
1.28247,0.625,1.25688,0.57312
1.25421,0.500,1.25240,0.58250
1.39289,0.500,1.33183,0.51062
1.40137,0.500,1.28559,0.55750
1.04394,0.625,1.21522,0.54250
1.49723,0.375,1.08196,0.62500
0.84252,0.625,1.17716,0.56812
1.16047,0.562,1.21438,0.58188
1.06181,0.688,1.10744,0.62250
0.52560,0.750,1.15820,0.58125
1.08707,0.500,1.10418,0.59437
1.08088,0.562,1.19115,0.58500
0.59870,0.875,1.06321,0.61687
1.19134,0.562,1.07056,0.63438
1.02630,0.562,1.17043,0.59750
1.45143,0.312,1.04942,0.64687
0.86268,0.625,1.01428,0.65750
0.83039,0.750,0.97089,0.67437
0.71320,0.688,1.03630,0.64750
0.46896,0.812,0.99255,0.64812
1.00093,0.750,1.00312,0.66250
0.68151,0.688,0.95658,0.65687
0.90021,0.750,1.00183,0.66750
0.99468,0.688,1.01561,0.62438
0.77980,0.688,0.97973,0.66687
0.67502,0.750,0.93562,0.67875
0.31837,0.938,1.00878,0.62750
0.80258,0.750,1.04006,0.64187
0.94730,0.812,0.99605,0.65438
1.20059,0.625,0.96780,0.65563
0.71878,0.688,0.96177,0.65563
0.31818,0.938,0.98621,0.64500
0.52976,0.875,1.01189,0.66063
1.03327,0.688,0.96433,0.66187
0.32279,0.875,0.96217,0.66375
0.53921,0.750,0.92773,0.68063
1.73904,0.438,0.93738,0.67437
0.54363,0.938,0.96637,0.66750
0.53873,0.875,1.04948,0.63438
0.96961,0.688,0.92005,0.67688
0.61872,0.750,1.02088,0.64187
0.40435,0.812,0.90130,0.69250
0.44265,0.750,0.91469,0.68937
0.28138,0.875,0.89874,0.68125
0.43111,0.750,0.93476,0.67625
1.01874,0.688,0.96072,0.66000
0.37945,0.938,0.98934,0.66750
0.57659,0.750,0.82737,0.71062
0.67189,0.750,0.96661,0.66125
0.81903,0.750,0.96194,0.66250
0.65568,0.812,0.93387,0.67875
0.50866,0.875,0.87770,0.70000
0.99462,0.625,0.97961,0.67063
0.51377,0.875,0.95719,0.68063
0.98651,0.688,0.98847,0.65187
0.49364,0.812,1.00756,0.63875
0.40131,0.875,0.97962,0.67188
0.72157,0.750,0.84844,0.70188
0.55365,0.688,0.87354,0.69250
0.29539,0.938,0.88813,0.68563
0.57496,0.812,0.95736,0.67250
0.88176,0.625,0.91650,0.68625
0.62607,0.562,0.85921,0.70625
1.03650,0.625,0.88770,0.70375
0.46119,0.812,0.93860,0.67437
0.80873,0.688,0.99005,0.65875
0.52672,0.750,0.92517,0.67437
0.36074,0.812,0.91983,0.69375
0.70207,0.688,1.01927,0.65125
0.61006,0.688,0.89775,0.69188
0.45660,0.750,0.94208,0.67500
0.32535,0.875,0.92247,0.68812
0.78614,0.688,0.91162,0.67500
0.61804,0.875,0.93818,0.68000
0.86843,0.688,0.91396,0.67688
0.73663,0.750,0.89671,0.69375
0.43578,0.812,0.91713,0.68188
0.73766,0.750,1.05335,0.64750
0.24925,0.938,0.86578,0.71125
0.69963,0.812,0.87957,0.70500
0.32437,0.938,0.91533,0.68437
0.27628,0.938,0.92747,0.68937
0.41790,0.812,0.88278,0.70750
0.14184,1.000,1.01448,0.66563
