loss,acc,test_loss,test_acc
2.23899,0.000,2.30290,0.10187
2.09198,0.250,2.30338,0.10187
1.70946,0.312,2.30476,0.09938
2.24755,0.062,2.30792,0.09813
2.15473,0.125,2.30907,0.09813
2.16496,0.188,2.03110,0.25500
1.96144,0.438,2.18096,0.19875
1.66975,0.438,2.01714,0.25312
1.65466,0.375,2.05598,0.31938
1.43461,0.562,2.35458,0.28250
1.73395,0.375,2.25382,0.25062
1.73678,0.250,2.22528,0.29563
1.54924,0.438,2.13092,0.24625
1.63730,0.125,2.28071,0.26562
1.59993,0.500,1.93435,0.34250
1.95223,0.312,2.20154,0.24563
2.20796,0.312,2.13938,0.26750
1.60081,0.375,1.66383,0.35625
1.43208,0.438,2.23388,0.32312
1.52736,0.312,1.80070,0.34937
1.52120,0.250,2.00550,0.27250
2.11824,0.125,1.59281,0.36188
1.63737,0.312,1.62034,0.37812
1.64854,0.625,1.79355,0.35750
1.73689,0.125,1.58667,0.37688
1.83497,0.250,1.54744,0.41563
1.64625,0.312,1.73055,0.35938
1.87619,0.250,1.56030,0.40000
1.19473,0.562,1.53395,0.39937
1.41987,0.438,1.59342,0.38062
1.23702,0.375,1.93236,0.33250
1.51338,0.375,1.49946,0.41375
1.44224,0.375,1.73982,0.36125
1.67686,0.688,1.45687,0.44750
1.24992,0.625,1.49421,0.47687
1.64695,0.312,1.50971,0.42625
1.65022,0.438,1.47357,0.44812
2.12465,0.375,1.51653,0.45500
1.20778,0.562,1.39809,0.45937
1.58267,0.312,1.74840,0.43875
1.39952,0.500,1.62452,0.43812
1.70247,0.438,1.60030,0.45687
1.96937,0.375,1.36996,0.48375
1.07662,0.562,1.48105,0.45188
1.48842,0.375,1.41581,0.46063
1.57513,0.438,1.39728,0.47000
1.59028,0.500,1.33810,0.50000
1.21674,0.625,1.34248,0.51000
1.27212,0.500,1.31097,0.52563
1.25008,0.625,1.27859,0.53875
1.22764,0.688,1.22783,0.53625
1.18313,0.375,1.29795,0.50562
1.45675,0.312,1.32734,0.50438
0.89525,0.625,1.31171,0.51000
1.47614,0.500,1.30743,0.51438
1.82631,0.375,1.25940,0.54688
1.57623,0.625,1.31322,0.52312
0.97337,0.688,1.31816,0.50625
1.43711,0.625,1.33589,0.53000
1.32574,0.500,1.16107,0.58375
1.26877,0.375,1.18211,0.55875
0.91530,0.625,1.18993,0.57500
1.39258,0.375,1.42301,0.48688
1.65011,0.562,1.29682,0.53750
1.36109,0.375,1.18179,0.57500
1.22173,0.562,1.30585,0.54563
1.63207,0.375,1.25488,0.52875
1.92629,0.375,1.11859,0.59250
0.89536,0.688,1.21463,0.54812
1.05642,0.625,1.15386,0.60375
1.26635,0.438,1.11091,0.14563
1.04417,0.562,1.30854,0.53312
0.82424,0.812,1.10977,0.61125
0.95866,0.625,1.10973,0.59125
1.33217,0.625,1.30725,0.52312
1.50105,0.562,1.18042,0.58125
0.74605,0.688,1.12231,0.60938
1.50478,0.375,1.07013,0.62500
1.28826,0.438,1.07024,0.61313
1.01452,0.562,1.19037,0.58313
1.78722,0.188,1.21978,0.57312
1.02394,0.562,1.03910,0.62750
0.79779,0.688,1.14255,0.59313
0.79635,0.688,1.02427,0.64312
0.71191,0.812,1.06642,0.63187
0.93096,0.562,1.07435,0.61875
1.11412,0.688,1.06902,0.61062
0.93168,0.500,1.16348,0.59125
1.25925,0.500,1.27272,0.56437
0.94989,0.562,1.09905,0.62000
1.24836,0.625,1.15441,0.60188
1.58859,0.375,1.08284,0.62250
