loss,acc,test_loss,test_acc
2.09159,0.188,2.31715,0.09938
1.98214,0.312,2.31517,0.09813
2.23017,0.188,2.33707,0.09813
2.05013,0.062,2.33048,0.09938
2.20643,0.312,2.36300,0.09813
1.92673,0.188,2.36871,0.09813
1.99050,0.188,2.18622,0.20875
1.65678,0.250,2.09353,0.20500
2.15101,0.125,2.03019,0.29250
1.77858,0.250,2.06375,0.19875
1.88340,0.188,1.88479,0.25062
1.58381,0.312,7.31865,0.12125
1.79528,0.250,2.67614,0.27063
1.42791,0.500,3.18307,0.25312
1.59968,0.625,1.98100,0.26000
1.63857,0.438,2.88393,0.26937
1.98856,0.188,1.96016,0.27250
1.75573,0.125,2.04847,0.24563
2.08986,0.188,2.84078,0.21313
1.97782,0.125,2.05920,0.27687
1.55549,0.438,1.83514,0.32750
1.81871,0.125,1.86777,0.32812
1.85290,0.312,1.97434,0.31438
1.53678,0.438,2.06471,0.27875
1.98898,0.188,2.02533,0.29688
1.79182,0.125,1.98449,0.33375
2.04712,0.250,2.49419,0.27813
2.16677,0.312,2.21825,0.29437
1.32278,0.375,1.92769,0.34187
1.74208,0.375,1.86241,0.35000
1.97012,0.312,2.64801,0.26687
1.66602,0.250,1.85884,0.34313
1.87336,0.375,2.21193,0.28250
1.35693,0.625,1.64056,0.37062
2.25329,0.125,1.64185,0.37625
1.60642,0.438,1.57998,0.39437
1.38855,0.438,1.98450,0.35063
1.79566,0.250,1.84792,0.34750
1.62589,0.188,1.63077,0.41063
1.90480,0.312,1.90153,0.35437
1.52336,0.250,1.58722,0.40500
1.62089,0.438,1.51044,0.42125
1.33737,0.625,1.54615,0.42688
1.29355,0.438,1.43015,0.46313
1.70912,0.375,1.79043,0.33875
1.70300,0.312,1.44445,0.44688
1.50835,0.438,1.35342,0.48812
1.09696,0.562,1.52863,0.44500
2.13955,0.312,1.41260,0.45312
1.40697,0.500,1.45837,0.46500
1.10513,0.688,1.50751,0.46000
1.11964,0.500,2.00133,0.37938
1.75900,0.625,1.27521,0.51313
1.28258,0.438,1.55343,0.43938
1.30299,0.438,1.40887,0.48625
1.04991,0.750,1.35856,0.48812
1.15623,0.625,1.77633,0.38438
1.10920,0.562,1.39749,0.49062
1.59330,0.438,1.52494,0.46125
1.03926,0.438,1.36874,0.48875
1.98591,0.250,1.35291,0.49750
1.36371,0.438,1.30070,0.53125
1.13760,0.500,1.28119,0.53500
1.21912,0.562,1.25686,0.54250
0.94381,0.688,1.39877,0.49625
1.45938,0.438,1.18053,0.57875
1.35778,0.438,1.15853,0.58250
1.47480,0.562,1.34227,0.48438
1.16895,0.750,1.16425,0.58937
1.23322,0.312,1.26833,0.53250
1.89355,0.312,1.45364,0.49500
1.31963,0.562,1.23238,0.54312
1.17642,0.500,1.23143,0.56437
1.03302,0.562,1.16685,0.57750
1.23953,0.438,1.08987,0.59750
0.76606,0.875,1.22028,0.56188
1.46093,0.438,1.26291,0.53750
1.52265,0.562,1.28045,0.55437
1.06855,0.625,1.28709,0.53125
1.73943,0.375,1.14999,0.60000
1.14815,0.500,1.19342,0.57375
1.00612,0.625,1.19485,0.56000
1.07323,0.750,1.19913,0.56500
1.23326,0.562,1.29597,0.53812
1.70083,0.375,1.31240,0.53250
1.30974,0.625,1.08600,0.62313
1.41534,0.500,1.09200,0.60813
0.79211,0.750,1.16623,0.58188
1.13675,0.562,1.08458,0.61250
0.99083,0.562,1.23640,0.56875
1.18421,0.562,1.09223,0.61625
0.68416,0.625,1.14615,0.58937
1.61986,0.438,1.13641,0.60437
1.19796,0.500,1.09293,0.62125
0.82757,0.688,1.10758,0.60625
1.09199,0.562,1.09588,0.61813
1.12326,0.750,1.15301,0.59813
0.89893,0.688,1.13196,0.60375
1.04922,0.625,1.08901,0.62438
0.87200,0.562,1.04518,0.64438
0.67027,0.875,1.02447,0.64438
1.08725,0.438,1.06879,0.62187
1.15803,0.562,1.06155,0.63062
0.91591,0.688,1.00013,0.64875
0.91982,0.625,1.06067,0.62750
1.55681,0.562,1.02983,0.64062
0.95880,0.812,1.17938,0.62625
1.77052,0.500,1.12118,0.60062
1.07503,0.625,1.05472,0.63875
0.82565,0.750,1.12319,0.60625
