loss,acc,test_loss,test_acc
2.42110,0.062,2.31428,0.10063
1.89333,0.188,2.31594,0.09813
2.11397,0.188,2.32935,0.09938
2.03956,0.188,2.34487,0.10187
2.05498,0.125,2.37339,0.10187
1.74672,0.250,2.35291,0.09938
2.05878,0.125,2.16933,0.16312
2.06457,0.375,2.37738,0.16375
1.92254,0.188,2.28066,0.18313
1.83061,0.188,9.27087,0.10000
1.93709,0.188,4.90906,0.10375
1.66826,0.250,2.35103,0.20312
2.09091,0.312,2.15307,0.21250
1.84499,0.188,2.63083,0.20938
1.93050,0.312,14.02366,0.16312
1.84479,0.375,2.20106,0.22687
1.76694,0.375,2.50349,0.18625
1.57059,0.312,3.34194,0.20500
2.21228,0.125,7.01276,0.13875
1.95553,0.188,2.31391,0.22375
1.96283,0.188,4.88442,0.18500
1.88691,0.188,2.10167,0.22687
2.06244,0.250,2.00412,0.25625
2.09780,0.125,1.90544,0.24688
1.83241,0.125,1.88602,0.24813
1.55215,0.312,1.86981,0.26875
1.78838,0.312,2.60266,0.17563
1.80803,0.250,7.25439,0.20500
1.72112,0.312,2.59128,0.25000
1.75944,0.250,3.54237,0.17438
1.90960,0.125,2.34646,0.24625
1.55955,0.500,2.04291,0.23312
1.61694,0.188,2.25243,0.16812
1.68411,0.062,2.67027,0.23375
1.60221,0.375,1.96068,0.24313
1.68118,0.312,4.02945,0.24000
1.86814,0.125,1.96295,0.25188
1.93384,0.188,3.00232,0.27813
1.93692,0.188,1.83347,0.23250
1.68561,0.375,1.95935,0.26188
2.13055,0.312,2.46603,0.26375
1.80765,0.188,2.91217,0.25125
1.62175,0.500,2.14072,0.30438
1.50413,0.375,1.84448,0.30375
1.92632,0.188,2.53474,0.22375
1.68190,0.375,1.76984,0.29313
1.89257,0.312,2.96567,0.27187
1.50362,0.562,1.70062,0.33313
1.67814,0.312,1.58576,0.38812
1.73623,0.375,1.88739,0.34250
1.86843,0.250,1.89128,0.31750
1.89635,0.312,1.76741,0.38500
1.83830,0.500,2.14785,0.32062
