loss,acc,test_loss,test_acc
1.80317,0.375,2.26296,0.24063
1.64241,0.375,2.18464,0.29750
1.43209,0.438,1.70985,0.36000
2.05801,0.250,1.56373,0.39250
1.58330,0.250,1.45964,0.44812
1.30968,0.438,1.40484,0.52312
1.57008,0.562,1.33558,0.52812
1.31445,0.500,1.34880,0.53500
0.95078,0.688,1.21038,0.57188
0.78537,0.812,1.09245,0.61813
0.87489,0.688,1.04266,0.65563
1.21318,0.688,1.09245,0.61687
0.67837,0.625,0.99173,0.68750
0.76235,0.688,1.01135,0.66500
0.70013,0.750,0.97305,0.66875
0.95117,0.750,0.98274,0.65375
0.63170,0.688,0.95661,0.68937
0.79377,0.812,1.00338,0.66625
0.86826,0.750,0.92469,0.71562
0.78546,0.562,0.88256,0.70625
0.52986,0.875,0.85768,0.71875
1.11059,0.562,0.82631,0.73250
0.39995,0.875,0.82190,0.72750
0.58507,0.688,0.85111,0.71562
0.91141,0.688,0.87979,0.71250
0.52128,0.938,0.80363,0.72750
0.71536,0.750,0.77511,0.73687
0.92190,0.688,0.81503,0.73875
0.53862,0.875,0.78683,0.74000
0.38999,0.875,0.79562,0.73000
0.60277,0.750,0.79289,0.73313
0.49751,0.688,0.76343,0.75000
0.81261,0.688,0.76801,0.75062
0.87195,0.750,0.77574,0.73438
0.19881,0.938,0.73036,0.76125
0.72607,0.688,0.76240,0.75062
0.58066,0.750,0.76854,0.74750
0.37782,0.875,0.78206,0.73375
0.41143,0.875,0.72435,0.76500
0.46136,0.750,0.73100,0.76938
0.26731,0.938,0.73853,0.75250
0.20197,1.000,0.72505,0.75813
0.55733,0.750,0.71628,0.75562
0.38537,0.812,0.78413,0.73188
0.37438,0.875,0.73715,0.74750
0.39368,0.875,0.71127,0.76125
0.15659,1.000,0.75561,0.76187
0.32679,0.875,0.73340,0.75687
0.82972,0.688,0.72811,0.75875
0.28841,0.875,0.75012,0.75625
0.27855,0.875,0.75310,0.74750
0.59501,0.750,0.83986,0.73250
0.39913,0.875,0.71179,0.76938
0.19569,1.000,0.70788,0.76500
0.16915,1.000,0.73516,0.75125
0.13253,1.000,0.70566,0.78063
0.04396,1.000,0.71808,0.75875
0.25431,0.938,0.74401,0.75750
0.25653,0.812,0.71825,0.77438
0.27759,0.812,0.76871,0.77125
0.21118,0.938,0.78341,0.77750
0.46986,0.812,0.76537,0.75813
0.30083,0.750,0.69549,0.77812
0.13700,0.938,0.70761,0.78125
0.13908,0.938,0.71769,0.77125
0.29271,0.875,0.73044,0.77250
0.17102,0.938,0.75532,0.77687
0.12074,0.938,0.70848,0.77687
0.20449,0.875,0.76273,0.76313
0.08778,1.000,0.73390,0.76875
0.14288,0.938,0.74417,0.77563
0.11049,0.938,0.71486,0.78187
0.21215,0.938,0.68368,0.77187
0.40780,0.750,0.76641,0.77563
0.22457,0.938,0.80407,0.76125
1.22109,0.750,0.76112,0.76500
0.32937,0.875,0.76552,0.78063
0.18631,0.938,0.79834,0.76062
0.22868,0.875,0.82109,0.74250
0.05732,1.000,0.81896,0.76500
0.07163,1.000,0.73596,0.78125
0.48474,0.812,0.76358,0.77687
0.31063,0.875,0.78897,0.76875
0.02756,1.000,0.77805,0.75813
0.19094,0.938,0.75475,0.77312
0.15222,0.938,0.75142,0.77500
0.09054,1.000,0.77247,0.77438
0.58311,0.750,0.74996,0.77938
0.04407,1.000,0.73653,0.78187
0.27833,0.875,0.79438,0.78063
0.06644,0.938,0.77641,0.78812
0.21377,0.875,0.76918,0.76687
0.02999,1.000,0.71359,0.79812
0.15551,0.938,0.77786,0.77312
0.19899,0.938,0.83361,0.77312
0.06012,1.000,0.76119,0.78000
0.01385,1.000,0.78794,0.77312
0.24829,0.938,0.76618,0.78125
0.11296,0.938,0.78676,0.77500
0.12113,0.938,0.77436,0.77125
