loss,acc,test_loss,test_acc
2.27392,0.125,2.31550,0.09813
2.56703,0.000,2.33823,0.08750
2.36966,0.062,2.34342,0.09813
2.32075,0.188,2.35668,0.09938
2.07179,0.188,2.47692,0.09938
1.90329,0.188,2.50638,0.10187
2.00866,0.125,2.26343,0.11688
1.89370,0.125,2.20018,0.19437
1.96277,0.188,2.10451,0.20438
1.98838,0.188,1.99429,0.20688
2.15563,0.188,3.45742,0.14188
1.90166,0.250,2.47387,0.18438
1.67774,0.250,2.29832,0.19750
1.60547,0.312,2.06673,0.25875
1.86804,0.312,2.45723,0.18875
1.74473,0.375,2.08789,0.19750
1.99130,0.250,2.10844,0.19437
1.90456,0.250,2.37768,0.16562
2.29094,0.250,2.22105,0.13562
1.75178,0.312,4.32130,0.16375
1.74711,0.312,2.37510,0.23125
1.78683,0.250,2.00044,0.27125
1.23844,0.688,1.88708,0.28750
1.65110,0.250,1.99253,0.23312
1.74185,0.438,1.83968,0.26937
1.84728,0.250,2.32879,0.15875
1.49258,0.312,2.04614,0.27875
1.52337,0.500,1.94025,0.21937
1.68538,0.312,1.81301,0.30750
1.92859,0.312,1.93089,0.28875
2.14402,0.312,1.95878,0.31062
1.79684,0.312,1.97237,0.22500
1.29667,0.500,1.92494,0.28187
1.96510,0.312,2.66964,0.23875
2.03989,0.375,1.62713,0.37938
1.85450,0.188,1.74930,0.35687
1.55151,0.250,1.92825,0.32312
1.39500,0.312,1.97308,0.31562
1.28532,0.438,1.64411,0.37062
1.39893,0.500,1.70095,0.34500
1.63606,0.312,1.57445,0.40813
1.42205,0.312,1.66233,0.38188
1.75143,0.438,1.65621,0.39500
1.86445,0.312,1.74174,0.33437
1.32420,0.562,1.54501,0.40437
1.43271,0.500,2.04062,0.33563
1.44797,0.562,1.56142,0.40500
1.51170,0.375,1.62845,0.34875
1.36305,0.375,1.51230,0.43875
1.62696,0.375,1.88955,0.31750
1.55540,0.500,1.96513,0.32812
1.82240,0.562,1.79412,0.33000
1.13546,0.750,1.66969,0.37312
1.37283,0.312,1.56488,0.42812
1.33413,0.438,1.62024,0.40000
1.30172,0.562,1.49186,0.45625
1.24593,0.625,1.87328,0.30250
1.60926,0.375,1.89063,0.32750
1.32335,0.688,1.54609,0.40875
1.51341,0.438,1.82753,0.29375
1.56690,0.375,1.52368,0.42875
1.46652,0.375,1.47382,0.47000
1.26442,0.438,1.48526,0.46125
1.24588,0.438,1.46965,0.43938
1.21184,0.625,1.72486,0.37562
1.00342,0.625,1.43903,0.48438
1.45593,0.438,1.44729,0.47063
1.22120,0.562,1.38932,0.49438
1.31588,0.562,1.63776,0.40500
1.30667,0.562,1.72719,0.38562
1.72932,0.375,1.65958,0.40563
1.57593,0.312,1.38179,0.50187
1.34913,0.438,1.61702,0.43125
1.01264,0.688,1.61307,0.42750
1.61469,0.250,1.54237,0.42188
1.61984,0.438,1.52288,0.45250
1.10080,0.625,1.47797,0.48812
1.36545,0.562,1.62444,0.44750
1.33377,0.625,1.43502,0.47187
1.94552,0.375,1.54283,0.45937
1.30128,0.500,1.32843,0.51250
1.15103,0.625,1.44443,0.46687
1.35067,0.500,1.70435,0.41750
1.87461,0.500,1.56355,0.43375
1.21570,0.562,1.44002,0.49188
1.34082,0.562,1.40071,0.49438
1.18708,0.562,1.53535,0.42812
1.02174,0.750,1.42406,0.47625
1.75983,0.562,1.77019,0.39000
1.54114,0.438,1.43727,0.49062
1.60214,0.562,1.48383,0.47437
1.36530,0.438,1.32995,0.51375
1.05205,0.625,1.59563,0.41937
1.44241,0.375,1.46339,0.46687
1.30010,0.438,1.40009,0.50313
1.42982,0.562,1.45164,0.47250
1.30106,0.500,1.58973,0.43125
1.43829,0.312,1.73603,0.37188
1.21873,0.562,1.43424,0.49625
1.45619,0.438,1.44446,0.48875
1.69419,0.500,1.38475,0.50375
1.16316,0.625,1.59101,0.41625
0.99635,0.688,1.31913,0.51750
1.30834,0.625,1.32638,0.54125
1.57326,0.500,1.33114,0.53063
1.23351,0.438,1.34104,0.52500
1.13660,0.562,1.33831,0.51687
0.97274,0.688,1.48102,0.48562
1.00071,0.562,1.30293,0.53938
0.98052,0.625,1.27018,0.53312
1.43461,0.375,1.49757,0.46813
0.70659,0.812,1.29329,0.52687
1.02476,0.562,1.40065,0.50750
1.26001,0.500,1.29063,0.54625
0.95408,0.750,1.66099,0.42375
1.43741,0.500,1.28042,0.55063
1.10586,0.625,1.42514,0.48500
1.15058,0.625,1.23004,0.56437
1.46783,0.500,1.24434,0.55563
0.99946,0.625,1.27263,0.54312
1.39952,0.500,1.30107,0.55312
1.32868,0.562,1.37420,0.51875
1.45615,0.625,1.23291,0.56063
1.01703,0.688,1.22409,0.56937
1.39832,0.500,1.22979,0.55750
2.06014,0.188,1.15093,0.59188
1.22422,0.500,1.19201,0.58062
1.69716,0.500,1.26573,0.56250
0.98376,0.562,1.22095,0.56937
1.09247,0.625,1.17691,0.58500
1.37071,0.688,1.27245,0.53875
