loss,acc,test_loss,test_acc
2.20974,0.188,2.31819,0.09813
1.74943,0.375,2.33297,0.10750
1.94153,0.188,2.35509,0.09813
2.12808,0.000,2.33135,0.09813
1.75949,0.125,2.38354,0.09813
2.19692,0.125,2.44742,0.10562
2.22252,0.125,1.81248,0.29938
1.91986,0.188,2.07331,0.25125
1.58194,0.438,2.19957,0.25688
1.64336,0.438,3.03185,0.21813
1.88765,0.125,3.67701,0.22687
2.06022,0.125,3.04718,0.28187
2.00925,0.250,2.67635,0.28437
1.77248,0.312,2.69296,0.29437
1.67104,0.312,2.04003,0.30625
1.75903,0.438,1.72332,0.34125
1.56092,0.375,1.88225,0.35000
2.22322,0.312,2.51992,0.27687
1.67728,0.312,2.07440,0.30750
1.78177,0.438,2.20991,0.30375
1.45402,0.438,1.60925,0.38250
1.91232,0.188,2.06296,0.33625
1.20595,0.562,1.58535,0.40063
1.27397,0.500,2.21677,0.28750
1.66624,0.375,1.96268,0.32500
1.62968,0.312,1.68272,0.39937
1.46046,0.438,2.15916,0.33687
1.32410,0.500,1.58121,0.41875
1.49631,0.312,2.56443,0.35000
1.55924,0.312,1.66739,0.37125
1.42941,0.375,2.20892,0.36500
1.44572,0.250,1.64310,0.41063
1.82099,0.250,1.42252,0.45000
1.84715,0.250,1.66739,0.41937
2.05958,0.188,1.32996,0.49250
1.26815,0.562,1.59129,0.45125
1.40923,0.562,1.42158,0.48750
1.35672,0.438,1.61286,0.45625
1.37542,0.562,1.32167,0.53625
0.94886,0.750,1.53262,0.46687
1.37823,0.438,1.29334,0.54375
1.45909,0.375,1.35149,0.53250
1.38200,0.625,1.30660,0.52312
1.26940,0.375,1.38458,0.49000
1.87025,0.375,1.36424,0.52625
1.16818,0.688,1.30284,0.54750
1.45380,0.375,1.28440,0.52063
1.65800,0.500,1.35485,0.52187
1.45438,0.500,1.37625,0.53312
1.32651,0.562,1.39987,0.51313
1.36636,0.562,1.31168,0.53187
1.12944,0.688,1.19152,0.58313
1.16862,0.562,1.29119,0.53938
1.48431,0.562,1.30183,0.53250
1.10753,0.875,1.23136,0.55812
1.81450,0.312,1.40892,0.51562
1.51475,0.312,1.29477,0.54875
1.37818,0.500,1.25034,0.56937
1.23861,0.500,1.16284,0.59750
1.37081,0.500,1.31151,0.55063
2.08420,0.500,1.15444,0.59437
1.06967,0.438,1.11966,0.60437
1.60685,0.562,1.15282,0.59562
1.42740,0.500,1.18402,0.58688
1.04393,0.812,1.22847,0.55250
1.45679,0.375,1.09119,0.60750
1.03962,0.688,1.13217,0.59750
0.98258,0.562,1.36881,0.52438
1.57690,0.250,1.17537,0.58562
0.81739,0.750,1.14750,0.59625
1.06315,0.500,1.10317,0.60250
1.12776,0.500,1.04055,0.62438
1.04911,0.562,1.09040,0.61250
1.02068,0.500,1.17609,0.58437
0.92911,0.750,1.09850,0.61938
0.99106,0.688,1.08784,0.63187
1.56889,0.438,1.10005,0.61375
0.83003,0.688,1.09373,0.61813
1.01757,0.438,1.25492,0.54937
1.64887,0.562,1.10811,0.60125
0.67578,0.750,1.05090,0.63062
1.33803,0.438,1.02590,0.63375
1.07199,0.812,1.03637,0.63375
1.68529,0.562,1.05160,0.62500
1.13734,0.688,1.17302,0.58062
1.40830,0.688,0.97710,0.66000
0.61517,0.812,1.00173,0.65000
1.75263,0.438,1.03564,0.64875
1.22951,0.562,1.09886,0.61750
1.35015,0.500,1.02218,0.63875
1.09752,0.625,1.00660,0.66687
1.03513,0.625,1.01786,0.63687
0.84346,0.688,0.99549,0.65875
1.16180,0.562,1.02223,0.64375
1.37410,0.500,0.98890,0.65938
1.37860,0.562,0.97229,0.66187
1.66977,0.500,1.04772,0.63750
0.59046,0.812,1.00335,0.64312
1.25276,0.625,0.97054,0.65750
0.96676,0.688,0.96142,0.66875
0.75705,0.688,0.98657,0.65375
0.93124,0.500,1.08659,0.62500
1.37379,0.500,0.97061,0.66563
0.75039,0.688,0.99801,0.66312
0.47475,0.938,0.92773,0.68312
0.73677,0.750,0.97576,0.66375
1.04363,0.688,1.05583,0.64187
0.79306,0.688,0.94877,0.67625
1.45204,0.438,1.05814,0.63125
1.02086,0.688,0.97532,0.67750
1.15326,0.562,0.99295,0.65563
1.05095,0.625,1.03026,0.64687
0.55298,0.875,0.96544,0.67063
1.20741,0.688,1.03148,0.64938
0.82710,0.812,0.90467,0.67812
1.20683,0.688,0.97077,0.66438
1.20990,0.500,0.97573,0.65625
1.27707,0.562,0.90351,0.69312
0.42307,0.938,1.00610,0.64500
0.87669,0.750,0.97138,0.67375
0.67075,0.812,0.94802,0.66312
0.70978,0.750,0.91755,0.68125
1.34621,0.562,0.89577,0.70000
1.15970,0.438,1.03055,0.65563
1.15478,0.625,0.87505,0.69563
1.31788,0.562,0.95359,0.67000
0.79952,0.750,0.94063,0.67500
1.12911,0.562,0.96618,0.66812
0.89276,0.688,0.92460,0.69500
1.24152,0.500,0.85378,0.70750
0.99197,0.625,0.95261,0.66375
1.23674,0.500,0.90601,0.69500
0.77803,0.688,0.96628,0.67125
0.95489,0.625,0.90697,0.69625
0.97396,0.688,0.92883,0.69063
0.75488,0.688,0.89836,0.69063
0.43882,0.875,0.90412,0.68188
1.04241,0.562,0.99063,0.66563
1.04583,0.562,0.92580,0.68188
0.94084,0.750,0.91061,0.69750
0.67688,0.812,0.87700,0.69125
0.66598,0.812,0.93951,0.68625
1.56990,0.688,0.89828,0.68500
0.73371,0.812,0.87196,0.69250
0.63364,0.812,0.88517,0.69812
0.65062,0.812,0.93444,0.67875
1.36240,0.625,0.84852,0.71813
0.88065,0.688,0.88078,0.69375
1.20382,0.562,0.90245,0.69312
1.36198,0.562,0.95269,0.67625
1.25092,0.688,0.87239,0.70188
1.26795,0.625,1.11006,0.63625
0.72587,0.750,0.94423,0.67125
0.63685,0.750,0.87121,0.68625
1.23999,0.562,0.88983,0.69375
0.91297,0.688,0.91082,0.68937
0.97224,0.625,0.86173,0.71313
0.77631,0.750,0.89171,0.69312
0.98093,0.625,0.90095,0.68250
0.62779,0.750,0.89535,0.70750
