loss,acc
1.81523,0.375
2.18965,0.250
1.95168,0.188
1.88854,0.250
2.32138,0.188
1.67653,0.375
1.53862,0.500
2.06565,0.125
1.73949,0.250
2.08686,0.000
1.97389,0.250
1.68059,0.438
1.58000,0.375
1.83483,0.312
1.88850,0.250
1.44649,0.438
1.55235,0.500
1.45872,0.500
2.11337,0.125
1.84342,0.312
1.30019,0.562
1.66229,0.375
1.85974,0.188
1.75447,0.438
1.77112,0.312
1.63388,0.375
1.70004,0.438
1.46163,0.562
1.37468,0.500
1.91366,0.188
1.64099,0.438
2.17901,0.125
1.81931,0.438
1.54609,0.125
1.30539,0.625
1.50745,0.375
1.23355,0.625
1.54768,0.500
1.29364,0.438
1.58036,0.312
1.19490,0.625
1.04932,0.562
1.14235,0.438
1.51005,0.625
1.52341,0.438
2.05415,0.312
0.96155,0.625
1.37528,0.500
1.15526,0.500
1.78130,0.375
1.22413,0.438
1.16143,0.562
1.32482,0.562
1.32364,0.562
1.24943,0.500
1.43266,0.500
1.57967,0.438
1.46170,0.500
1.52361,0.375
1.70302,0.562
1.34701,0.500
0.95151,0.688
1.23509,0.500
1.06125,0.625
1.24131,0.562
1.12902,0.625
1.44817,0.562
1.07850,0.688
1.23812,0.625
0.99080,0.688
0.85991,0.625
1.27474,0.562
1.62210,0.438
1.11564,0.562
1.19363,0.562
1.41758,0.438
1.61756,0.250
1.08843,0.688
0.78405,0.688
0.76407,0.688
1.81238,0.312
1.53015,0.562
0.91913,0.625
1.41445,0.562
0.84964,0.688
1.09757,0.750
1.32648,0.438
1.17448,0.562
1.00569,0.625
1.29236,0.625
1.10988,0.625
0.69017,0.688
0.93876,0.688
1.55869,0.375
0.87521,0.688
1.29933,0.562
1.09462,0.625
1.11178,0.562
1.11658,0.688
1.18915,0.688
0.96529,0.625
1.23228,0.688
1.04881,0.625
0.97868,0.625
1.10692,0.500
1.27714,0.562
1.31311,0.625
1.14911,0.562
1.12160,0.688
0.94255,0.688
1.18042,0.562
0.79541,0.750
1.33922,0.438
1.13161,0.500
0.93860,0.750
1.00867,0.688
1.10251,0.625
0.78293,0.688
0.87652,0.625
0.69869,0.812
1.63308,0.562
0.83637,0.750
0.67672,0.688
0.87813,0.562
1.80949,0.500
1.31642,0.625
1.49595,0.688
0.60009,0.812
0.99508,0.625
0.85514,0.750
1.13295,0.625
0.62066,0.812
0.55070,0.875
0.95550,0.562
0.72192,0.812
0.77843,0.625
0.82043,0.688
0.67798,0.812
1.11090,0.688
0.80791,0.812
1.23932,0.688
1.34166,0.438
1.04477,0.500
1.00379,0.500
1.54460,0.562
0.76880,0.688
1.19956,0.625
0.40679,0.875
0.89716,0.750
1.28816,0.750
1.20713,0.438
1.06607,0.688
0.66719,0.812
0.76582,0.750
0.81363,0.750
1.37494,0.562
0.51839,0.812
0.95261,0.750
1.24415,0.688
0.93952,0.562
0.66675,0.875
1.53144,0.500
0.84142,0.750
1.62479,0.625
0.65885,0.812
0.91616,0.625
1.32035,0.562
0.36903,0.875
1.24549,0.562
0.88429,0.688
