loss,acc,test_loss,test_acc
2.26809,0.125,2.30287,0.09938
2.09646,0.062,2.30512,0.09813
1.76606,0.312,2.30615,0.09813
2.16682,0.125,2.31619,0.09813
1.74155,0.438,2.31753,0.09813
1.92195,0.188,2.25010,0.16437
1.78758,0.375,1.92046,0.24563
1.56161,0.312,3.01989,0.13125
1.79438,0.312,1.98755,0.29750
1.78257,0.250,3.26418,0.14875
1.87517,0.375,2.10887,0.24063
1.49303,0.375,2.00892,0.26000
1.67242,0.375,1.87448,0.32937
1.90051,0.438,2.21541,0.25375
1.91679,0.250,2.12292,0.32250
1.56591,0.438,2.12357,0.29250
1.74419,0.312,2.00526,0.32875
1.90223,0.250,2.37859,0.26937
1.57039,0.312,1.99146,0.27500
1.76026,0.500,2.09426,0.31938
1.56966,0.375,1.84395,0.35000
1.47097,0.500,1.67689,0.36625
1.41375,0.562,1.79597,0.35375
1.54151,0.250,2.62684,0.30250
1.77877,0.250,2.00907,0.33563
1.63065,0.312,1.57753,0.41500
1.01399,0.688,1.63120,0.39750
1.45095,0.438,2.19890,0.38688
1.39664,0.438,1.54735,0.42250
1.60252,0.438,1.52915,0.43000
1.43022,0.562,1.60239,0.42312
1.74286,0.500,1.44626,0.47250
1.38405,0.438,1.59068,0.44438
1.12942,0.562,1.61601,0.42688
1.71412,0.312,1.62346,0.45563
1.75074,0.438,1.54228,0.44438
1.60299,0.438,1.43839,0.46875
1.27163,0.500,1.49498,0.45375
1.26032,0.562,1.61219,0.42688
1.07376,0.625,1.56874,0.44938
1.29405,0.500,1.26594,0.53375
1.33590,0.562,1.45156,0.46000
2.01135,0.375,1.34291,0.51000
1.63532,0.438,1.34397,0.50938
1.73118,0.438,1.25366,0.53563
1.07835,0.625,1.25563,0.53563
1.32756,0.438,1.49587,0.47563
1.51131,0.438,1.69274,0.43250
1.43062,0.500,1.23339,0.53438
1.45589,0.438,1.28060,0.53812
1.64090,0.500,1.20502,0.56500
1.48112,0.500,1.25785,0.53375
1.15441,0.625,1.30845,0.50938
1.33450,0.625,1.29018,0.53187
1.28746,0.500,1.32637,0.52812
1.14044,0.562,1.25302,0.53250
1.39886,0.500,1.22461,0.54375
1.53464,0.562,1.22621,0.54375
1.05768,0.500,1.22978,0.56063
1.33396,0.562,1.21318,0.53375
1.37034,0.500,1.17065,0.56500
1.79572,0.438,1.23231,0.55250
0.82784,0.750,1.09218,0.59250
0.98071,0.438,1.35635,0.50187
1.47917,0.500,1.20175,0.56688
1.60223,0.438,1.25246,0.53563
1.05808,0.438,1.20555,0.58688
1.42646,0.562,1.13630,0.59562
2.57882,0.375,1.20196,0.57500
1.22311,0.688,1.17781,0.57688
1.32777,0.500,1.16416,0.57375
1.14240,0.625,1.20940,0.57312
1.27282,0.562,1.33241,0.52625
0.89011,0.625,1.05132,0.63000
1.33788,0.562,1.11898,0.60500
1.44354,0.625,1.19892,0.58062
1.64005,0.500,1.16692,0.59437
1.44253,0.500,1.16040,0.59250
1.20456,0.438,1.05933,0.61062
1.14597,0.625,1.05899,0.62125
1.18916,0.625,1.05351,0.62125
1.30915,0.562,1.15614,0.58000
1.64016,0.500,1.11425,0.60313
0.72536,0.875,1.07988,0.63000
1.36219,0.375,1.07050,0.60750
1.60757,0.500,1.08024,0.61375
0.97085,0.625,1.06606,0.62625
0.81323,0.750,1.03277,0.63062
1.34052,0.438,1.03797,0.65375
0.92397,0.688,1.09106,0.60625
0.83197,0.750,1.03028,0.63938
1.66001,0.375,1.19065,0.58688
1.62865,0.625,1.02045,0.63750
0.76850,0.812,0.99824,0.64187
0.78393,0.812,0.98571,0.66312
1.19040,0.562,1.32437,0.54438
1.34303,0.562,1.04305,0.62813
0.84503,0.688,1.10113,0.61187
1.60278,0.625,1.10994,0.60062
0.89896,0.625,1.03187,0.63813
1.12431,0.562,1.02579,0.65687
0.94388,0.750,1.02278,0.65875
1.20055,0.625,0.97755,0.64438
1.32992,0.438,1.05022,0.63500
1.22918,0.500,1.01645,0.63375
1.06598,0.750,0.97515,0.64938
0.78948,0.625,1.00175,0.65563
0.73081,0.625,1.06034,0.62875
1.17401,0.500,1.04709,0.64000
0.91958,0.625,0.95896,0.67437
1.22262,0.625,0.94862,0.67125
0.63350,0.750,1.02680,0.63000
0.97943,0.562,0.98675,0.66063
1.20797,0.750,1.04003,0.63875
0.98537,0.688,0.98601,0.65500
1.25464,0.625,0.97117,0.66438
1.61153,0.500,0.99330,0.66187
0.67987,0.812,0.96217,0.66500
0.92835,0.688,0.94688,0.68188
1.31172,0.500,1.00995,0.64250
0.83124,0.750,0.97387,0.64812
0.63368,0.812,0.95523,0.67125
0.84032,0.750,0.95883,0.67063
1.15327,0.625,0.92995,0.67000
0.59267,0.875,1.02480,0.64938
0.82978,0.625,0.94416,0.68812
0.74097,0.688,0.94721,0.67563
2.13630,0.250,0.92014,0.69125
0.63161,0.812,0.94517,0.66563
1.22236,0.688,0.99938,0.65750
0.57315,0.812,0.96609,0.68125
1.39677,0.562,0.91544,0.66563
1.48531,0.500,0.94512,0.66312
0.59764,0.875,0.95785,0.65875
